"You have cancelled your Clearpay payment. Please select an alternative payment method.","Vous avez annulé votre paiement Clearpay. Veuillez sélectionner un autre mode de paiement."
"Clearpay payment declined. Please select an alternative payment method.","Paiement Clearpay refusé. Veuillez sélectionner un autre mode de paiement."
"Authorization date expired","Authorization date expired"
"Clearpay payment method is not active","Clearpay payment method is not active"
"Clearpay Transaction Completed","Clearpay Transaction Completed"
"There was a problem placing your order. Your Clearpay order %1 is refunded.","There was a problem placing your order. Your Clearpay order %1 is refunded."
"4 interest-free installments of","4 interest-free installments of"
"4 interest-free instalments of","4 interest-free instalments of"
"Four interest-free payments totalling","Quatre paiements sans intérêt totalisant"
"Continue to Clearpay","Continuer a Clearpay"
"First payment","Premier versement"
"You will be redirected to the Clearpay website to fill out your payment information. You will be redirected back to our site to complete your order.","You will be redirected to the Clearpay website to fill out your payment information. You will be redirected back to our site to complete your order."
"You will be redirected to the Clearpay website when you proceed to checkout.","Vous serez redirigé vers le site Web de Clearpay lorsque vous passerez à la caisse."
"Shipping is unavailable for this address, or all options exceed Clearpay order limit.","Shipping is unavailable for this address, or all options exceed Clearpay order limit."
"You have cancelled your Clearpay payment.","You have cancelled your Clearpay payment."
"Payment is failed","Payment is failed"
"There are issues when processing your payment. Invalid Amount","Il y a des problèmes lors du traitement de votre paiement. Montant non valide"
"There are issues when processing your payment. Invalid Cart Items","There are issues when processing your payment. Invalid Cart Items"
"Order amount exceed Clearpay order limit.","Order amount exceed Clearpay order limit."
"No Clearpay token provided!","No Clearpay token provided!"
"Clearpay merchant configuration fetching is failed. Wrong credentials.","Clearpay merchant configuration fetching is failed. Wrong credentials."
"Clearpay merchant configuration fetching is failed. See logs.","Clearpay merchant configuration fetching is failed. See logs."
"Clearpay merchant configuration fetching is success.","Clearpay merchant configuration fetching is success."
"Unable to fetch Clearpay merchant configuration due to unsupported merchant country. Supported countries: GB.","Unable to fetch Clearpay merchant configuration due to unsupported merchant country. Supported countries: GB."
"Update Merchant Configuration","Update Merchant Configuration"
"Update limit configuration and specific countries from Clearpay API.","Update limit configuration and specific countries from Clearpay API."
"https://www.clearpay.co.uk/en-GB/terms-of-service","https://www.clearpay.com/fr-FR/terms"
"Terms & Conditions","Termes & Conditions"
"2 weeks later","2 semaines après"
"4 weeks later","4 semaines après"
"6 weeks later","6 semaines après"
